Shop ID;Prod ID;In pieces;In liters;In boxes;1-in pieces, 0-in boxes
130004;1000000220;4;8,08;1;0
130004;1000006232;20;9,2;1;0
130004;1000008379;6;12,42;1;0
130004;1000016394;41;5,74;1;0
130004;1000024381;6;14,82;1;0
130004;1000025084;15;6,75;1;0
130004;1000025152;6;1,8;1;0
130004;1000026878;15;4,35;1;0
130004;1000029331;15;20,25;1;0
130004;1000030623;25;31,25;1;0
130004;1000033901;12;15,84;1;0
130004;1000037267;9;27;1;0
130004;1000037268;9;32,58;1;0
130004;1000042117;24;5,76;1;0
130004;1000044580;14;59,78;1;0
130004;1000045006;24;23,76;1;0
130004;1000045473;12;9,24;1;0
130004;1000051086;10;3,1;1;0
130004;1000057991;4;18;1;0
130004;1000060055;15;42,3;1;0
130004;1000065958;26;14,04;1;0
130004;1000066780;14;23,94;1;0
130004;1000067064;40;10;1;0
130004;1000068397;20;19;1;0
130004;1000070692;24;2,4;1;0
130004;1000071462;2;8,86;1;0
130004;1000073063;12;15,12;1;0
130004;1000074594;32;6,08;1;0
130004;1000075066;54;154,44;9;0
130004;1000075169;30;59,4;1;0
130004;1000077705;20;22,4;1;0
130004;1000077922;6;37,38;1;0
130004;1000081738;3;26,43;3;0
130004;1000083775;12;39,84;2;0
130004;1000083776;6;19,68;1;0
130004;1000084297;15;25,8;1;0
130004;1000084775;28;18,2;1;0
130004;1000090831;22;3,08;1;0
130004;1000091561;10;12,6;1;0
130004;1000091819;24;24;1;0
130004;1000095915;12;86,04;2;0
130004;1000095961;60;31,2;1;0
130004;1000097331;12;10,44;1;0
130004;1000100320;30;24,6;2;0
130004;1000103635;12;7,08;1;0
130004;1000104853;48;32,16;2;0
130004;1000105605;12;7,44;1;0
130004;1000106111;10;18,5;1;0
130004;1000112943;24;55,44;2;0
130004;1000125969;16;6,4;1;0
130004;1000128641;48;16,8;1;0
130004;1000132861;12;8,4;1;0
130004;1000134937;80;176,8;2;0
130004;1032420005;14;6,58;1;0
130004;1042229921;6;19,62;1;0
130004;1049993307;20;22,6;1;0
130004;1059990474;25;16,5;1;0
130004;1067040002;1;17,97;1;0
130004;1069990135;20;13,4;1;0
130004;1077040008;9;7,02;1;0
130004;1086690004;12;23,64;1;0
130004;1094940002;18;26,64;1;0
130004;1133538058;4;34,88;1;0
130004;1199991258;24;10,08;1;0
130004;1393100213;6;15,66;1;0
130004;1398800056;33;62,37;1;0
130004;1419300017;12;7,8;1;0
130004;1470400038;30;20,4;2;0
130004;1470400048;20;19,6;1;0
130004;1510000042;6;14,88;1;0
130004;1524200014;15;11,55;1;0
130004;1541500097;6;13,92;1;0
130004;1543400003;12;7,08;1;0
130004;1600000503;5;11,9;1;0
130004;1620998009;12;30,6;1;0
130004;1636599919;10;22,7;1;0
130004;1654800006;12;10,08;1;0
130004;1658500104;16;90,72;2;0
130004;1670400001;7;33,32;7;0
130004;1699100062;20;2,8;1;0
130004;1699100070;20;3;1;0
130004;1699101336;5;6,25;1;0
130004;1699911074;10;27,5;1;0
130004;1699919510;20;10;1;0
130004;1699920201;19;4,37;1;0
130004;1799900259;8;23,36;1;0
130004;1899910180;12;14,28;1;0
130004;1899912155;18;4,32;1;0
130004;1899912355;18;3,6;1;0
130004;1900000044;6;1,26;1;0
130004;1963100001;48;10,56;2;0
130004;1963100003;24;5,28;1;0
130004;2009900004;20;10,2;1;0
130004;2123200094;34;2,72;1;0
130004;2160200020;21;5,25;1;0
130004;2170400005;30;5,7;1;0
130004;2199910022;100;46;1;0
130004;2199910300;24;17,04;1;0
130004;2199910314;20;43,6;1;0
130004;2400001913;6;15,72;1;0
130004;2400017292;12;30,12;2;0
130004;3060810917;48;19,68;1;0
130004;3062360111;12;3,84;1;0
130004;3070940309;6;8,28;1;0
130004;3074100026;32;16;1;0
130004;3113530008;36;3,24;1;0
130004;3133780401;40;60,4;4;0
130004;3139480002;6;6,9;1;0
130004;3139480006;6;8,34;1;0
130004;3139480010;10;14,1;1;0
130004;3152910003;10;12,6;1;0
130004;3284010204;30;32,4;3;0
